Location,Experience,Job Level,Industry,Employment Type,Welfare,Job Requirements,Follower,Salary
Hà Nội,5.0,Leader,"['sales', 'business']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'field', 'skills', 'open', 'experience', 'economics', 'technology', 'flexible', 'similar', 'persuasion', 'agile', 'work', 'good', 'honest', 'polite', 'university', 'communication', 'creative', 'automation', 'graduated', 'position', 'majors', 'plan', 'electronics', 'business', 'confident', 'ability', 'college', 'implementation', 'related', 'responsible', 'manage', 'customer', 'least', 'years'}",548,35000000
Hà Nội,1.0,Employee,"['medical', 'healthcare']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'saturday', 'skills', 'international', 'practice', 'agile', 'work', 'good', 'professional', 'majoring', 'working', 'medical', 'office', 'friendly', 'hospitalclinic', 'nursing', 'certificate', 'graduated', 'candidates', 'teamwork', 'daysweek', 'quality', 'know', 'qualifications', 'year', 'full', 'vietnamjapan', 'holiday', 'college', 'monday', 'least', 'dedicated', 'competitive', 'experience', 'capacity', 'benefits', 'family', 'honest', 'software', 'environment', 'hospital', 'th', 'priority', 'treatment', 'university', 'communication', 'morning', 'clinic', 'policy', 'hoursday', 'use', 'hours', 'according', 'participation', 'month', 'computer', 'qualification', 'bonuses', 'courses', 'responsible', 'examination', 'commensurate', 'civilized'}",19,11000000
Hà Nội,1.5,Employee,"['sales', 'business']",Official,"['insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'seniority', 'annual', 'leave']","{'separate', 'million', 'experience', 'direct', 'learn', 'birthdays', 'similar', 'added', 'end', 'benefits', 'good', 'hardworking', 'company', 'welfare', 'programs', 'progressive', 'communication', 'nppdl', 'regulations', 'advantage', 'adminleader', 'sales', 'internal', 'companys', 'position', 'according', 'participate', 'warehousetransportation', 'party', 'support', 'business', 'holidays', 'income', 'opening', 'new', 'bonuses', 'year', 'full', 'trip', 'minded', 'eager', 'hot', 'product', 'dynamic', 'policies'}",3829,14800000
Hồ Chí Minh,0.0,Employee,"['retail', 'wholesale', 'food', 'technology', 'nutrition', 'sales', 'business']",Official,"['insurance', 'allowance', 'uniform', 'bonus', 'training', 'salary', 'increase', 'business', 'trip']",{'specified'},8505,41000000
Hà Nội,3.0,Employee,"['administration', 'secretary', 'human', 'resources']",Official,"['insurance', 'travel', 'bonus', 'training', 'salary', 'increase', 'annual', 'leave']","{'required', 'field', 'skills', 'problem', 'higher', 'experience', 'pressure', 'learn', 'social', 'solving', 'given', 'careful', 'software', 'sociable', 'priority', 'high', 'degree', 'office', 'university', 'willing', 'specialist', 'general', 'management', 'majors', 'law', 'education', 'proficiency', 'candidates', 'payroll', 'persistent', 'ability', 'etc', 'withstand', 'responsible', 'time', 'human', 'resources', 'least', 'years'}",2788,15000000
Hải Dương,1.5,Employee,"['translation', 'construction']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'experience', 'fluently', 'careful', 'work', 'fields', 'majoring', 'reading', 'word', 'office', 'university', 'excel', 'quick', 'chinese', 'able', 'active', 'graduated', 'communicate', 'translate', 'years', 'writing', 'age', 'speaking', 'computer', 'interpreter', 'college', 'related', 'powerpoint', 'responsible', 'listening', 'old', 'proficient'}",1287,17000000
Hồ Chí Minh,2.0,Employee,"['retail', 'wholesale', 'sales', 'business', 'shipping', 'logistics', 'warehousing']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'cu', 'skills', 'pressure', 'higher', 'experience', 'city', 'male', 'agile', 'work', 'good', 'goods', 'fields', 'working', 'minh', 'managing', 'people', 'high', 'degree', 'office', 'intermediate', 'arising', 'able', 'situations', 'organize', 'companys', 'handling', 'chi', 'gender', 'qualities', 'arrange', 'assign', 'responsibility', 'ho', 'ability', 'withstand', 'related', 'female', 'sense', 'years'}",6,10000000
Hồ Chí Minh,4.0,Manager,"['retail', 'wholesale', 'sales', 'business', 'medical', 'healthcare']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'overseas', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'skills', 'experience', 'department', 'languages', 'good', 'university', 'communication', 'industries', 'planning', 'management', 'leadership', 'level', 'dietary', 'head', 'director', 'foreign', 'qualification', 'positions', 'supplement', 'pharmaceutical', 'held', 'resource', 'human', 'english', 'cosmetic'}",2901,28800000
Hà Nội,2.0,Leader,"['retail', 'wholesale', 'customer', 'service']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'overseas', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave', 'sports', 'club']","{'week', 'specific', 'open', 'experience', 'mindset', 'cskh', 'similar', 'knowledge', 'shift', 'produce', 'dedicated', 'work', 'personnel', 'good', 'working', 'results', 'h', 'people', 'word', 'day', 'center', 'cmt', 'indicators', 'able', 'keeping', 'management', 'committed', 'tien', 'position', 'chat', 'values', 'call', 'evaluated', 'offweek', 'hours', 'program', 'perform', 'thos', 'calculating', 'set', 'eq', 'kpis', 'steadfast', 'live', 'outbound', 'shifts', 'inbound', 'build', 'team', 'goals', 'tnkh', 'manage', 'core', 'years'}",1156,19500000
Dak Lak,0.0,Employee,"['sales', 'business', 'consulting']",Official,"['insurance', 'travel', 'shuttle', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'quickly', 'experience', 'knowledge', 'given', 'rotate', 'good', 'priority', 'grasp', 'products', 'tall', 'able', 'sales', 'equivalent', 'ability', 'positions', 'looking', 'shifts', 'relatively', 'female'}",5900,9000000
Hà Nội,1.0,Employee,"['retail', 'wholesale', 'sales', 'business', 'online', 'marketing']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'telesale', 'skills', 'problem', 'enthusiastic', 'experience', 'economics', 'direct', 'social', 'psychology', 'solving', 'similar', 'coordinate', 'persuasion', 'work', 'good', 'sharp', 'majoring', 'working', 'easy', 'word', 'grasp', 'university', 'communication', 'excel', 'minimum', 'situation', 'voice', 'administration', 'able', 'online', 'graduated', 'highly', 'position', 'majors', 'combative', 'proficiency', 'fluent', 'networks', 'handling', 'passionate', 'computer', 'business', 'year', 'listen', 'dynamic', 'ability', 'college', 'related', 'responsible', 'team', 'page', 'lisp', 'customer', 'resultoriented'}",9365,14000000
Hà Nội,0.0,Employee,"['seafood', 'marketing']",Official,"['insurance', 'allowance', 'bonus', 'training']","{'required', 'high', 'experience', 'higher', 'malefemale', 'old', 'local', 'accent', 'lisp', 'certificate', 'school', 'graduation', 'graduated', 'temporary', 'years'}",11338,37000000
Hồ Chí Minh,0.0,Employee,"['telecommunications', 'retail', 'wholesale', 'customer', 'service']",Official,"['insurance', 'travel', 'allowance', 'bonus', 'health', 'care', 'training', 'seniority', 'annual', 'leave']","{'required', 'experience', 'social', 'basic', 'benefits', 'accent', 'months', 'high', 'malefemale', 'degree', 'welfare', 'university', 'stutter', 'enjoy', 'local', 'school', 'able', 'graduated', 'text', 'majors', 'waiting', 'candidates', 'students', 'age', 'type', 'experiencefree', 'full', 'college', 'salary', 'accept', 'lisp', 'old', 'years'}",11338,7000000
Hà Nội,2.5,Employee,['software'],Official,"['laptop', 'insurance', 'travel', 'allowance', 'overseas', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'sports', 'club']","{'ceph', 'using', 'technology', 'netcore', 'kafka', 'knowledge', 'payment', 'mysql', 'building', 'following', 'languages', 'docker', 'ks', 'work', 'proactive', 'well', 'optimizing', 'openshift', 'platforms', 'redis', 'invoice', 'degree', 'company', 'nginx', 'hsm', 'cloud', 'socket', 'participated', 'commitment', 'detecting', 'highly', 'position', 'apis', 'restful', 'proficiency', 'candidates', 'tcpip', 'java', 'ca', 'big', 'postgresql', 'security', 'understanding', 'linux', 'programming', 'python', 'informatics', 'hardware', 'researching', 'least', 'deployment', 'experience', 'similar', 'given', 'devices', 'software', 'rabbitmq', 'one', 'priority', 'databases', 'web', 'operating', 'data', 'university', 'mathematics', 'services', 'oracledb', 'diligent', 'finance', 'information', 'general', 'learning', 'elasticsearch', 'longterm', 'serious', 'systems', 'mongodb', 'minio', 'development', 'system', 'electronic', 'language', 'stacks', 'new', 'tax', 'infrastructure', 'responsible', 'basic', 'golang', 'years'}",5441,20000000
Hà Nội,0.0,Employee,"['transportation', 'logistics', 'warehousing', 'general', 'labor']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'saturday', 'detail', 'enthusiastic', 'million', 'xa', 'park', 'male', 'industrial', 'family', 'careful', 'district', 'good', 'sociable', 'working', 'hardworking', 'phung', 'thach', 'quoc', 'commune', 'interview', 'oai', 'gender', 'location', 'factory', 'responsibility', 'hanoi', 'income', 'food', 'monday', 'time', 'discussed', 'sense'}",166,8000000
Long An,0.0,Employee,"['marketing', 'retail', 'wholesale', 'food', 'technology', 'nutrition']",Official,"['insurance', 'allowance', 'uniform', 'bonus', 'training', 'salary', 'increase', 'business', 'trip']","{'required', 'pressure', 'experience', 'milk', 'given', 'work', 'beginning', 'priority', 'products', 'motorbike', 'cream', 'independently', 'organize', 'canned', 'industry', 'candidates', 'beef', 'know', 'ability', 'butter', 'food', 'withstand', 'fmcg'}",8505,8000000
Hà Nội,3.0,Employee,"['medical', 'healthcare', 'human', 'resources']",Official,"['laptop', 'insurance', 'allowance', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'seniority', 'annual', 'leave']","{'saturday', 'skills', 'pressure', 'experience', 'similar', 'work', 'negotiation', 'good', 'graduate', 'working', 'medical', 'le', 'university', 'communication', 'tan', 'morning', 'advantage', 'xuan', 'able', 'position', 'hours', 'thanh', 'location', 'companies', 'hanoi', 'recruiting', 'withstand', 'monday', 'pharmaceutical', 'alley', 'trong', 'least', 'years'}",3766,17500000
Hồ Chí Minh,1.0,Employee,"['sales', 'business', 'development', 'customer', 'service', 'retail', 'wholesale']",Official,"['insurance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'annual', 'leave']","{'sales', 'field', 'baby', 'experience', 'communication', 'mother', 'job', 'store', 'especially', 'advantage', 'good', 'english', 'requirements'}",60,8200000
Vĩnh Long,0.0,Employee,"['sales', 'business', 'pharmaceutical', 'marketing']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'required', 'higher', 'experience', 'economics', 'learn', 'selfmanagement', 'good', 'honest', 'graduate', 'requirements', 'majoring', 'hardworking', 'high', 'malefemale', 'communication', 'pharmacy', 'need', 'advantage', 'diligent', 'school', 'sales', 'appearance', 'age', 'college', 'love', 'eager', 'old', 'years'}",182,9800000
Hà Nội,1.0,Employee,"['law', 'legal', 'banking']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'required', 'field', 'skills', 'banks', 'experience', 'similar', 'knowledge', 'given', 'economic', 'work', 'proactive', 'good', 'one', 'requirements', 'working', 'priority', 'police', 'risk', 'operations', 'postgraduate', 'university', 'communication', 'enforcement', 'grades', 'credit', 'cooperative', 'degrees', 'banking', 'local', 'graduated', 'management', 'authorities', 'situations', 'documents', 'law', 'candidates', 'notes', 'sector', 'competencies', 'legal', 'positions', 'ability', 'schools', 'commercial', 'understanding', 'admission', 'draft', 'handle', 'courts', 'least', 'years'}",7991,14400000
Hà Nam,1.0,Employee,"['mechanical', 'automotive', 'automation', 'manufacturing', 'production', 'operations', 'quality', 'control', 'qaqc']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'shuttle', 'bus', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave']","{'used', 'worked', 'managers', 'given', 'taiwanesechinese', 'work', 'priority', '中文溝通能力', 'degree', 'university', 'communication', 'experienced', 'display', 'oem', 'chinese', 'sales', 'lcdrelated', 'lcd', '中大學以上', 'systems', 'candidates', 'language', 'positions', 'representative'}",45,18800000
Hà Nội,1.0,Employee,"['marketing', 'software']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'saturday', 'preferably', 'skill', 'machinery', 'specifically', 'advertisements', 'building', 'work', 'well', 'leave', 'paid', 'fields', 'promotion', 'working', 'communications', 'degree', 'company', 'analyze', 'running', 'content', 'friday', 'encouraging', 'create', 'interview', 'effectively', 'law', 'improvement', 'industry', 'participate', 'activities', 'ca', 'facebook', 'write', 'young', 'holidays', 'organized', 'year', 'full', 'clear', 'monday', 'google', 'make', 'dynamic', 'competitive', 'million', 'experience', 'benefits', 'motorcycle', 'regime', 'opportunities', 'decisions', 'environment', 'multitask', 'ads', 'data', 'university', 'regulations', 'market', 'performance', 'independently', 'creativity', 'annual', 'automotive', 'based', 'hours', 'according', 'marketing', 'income', 'ability', 'upto', 'courses', 'related', 'team', 'time', 'discussed', 'manage', 'us'}",20,20000000
Vĩnh Long,0.0,Employee,"['sales', 'business', 'pharmaceutical', 'retail', 'wholesale']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'required', 'higher', 'experience', 'economics', 'learn', 'selfmanagement', 'good', 'honest', 'graduate', 'requirements', 'majoring', 'hardworking', 'high', 'malefemale', 'communication', 'pharmacy', 'need', 'advantage', 'diligent', 'school', 'sales', 'appearance', 'age', 'college', 'love', 'eager', 'old', 'years'}",182,10500000
Bình Dương,1.0,Employee,"['banking', 'securities', 'finance', 'investment']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'annual', 'leave', 'sports', 'club']","{'synthesizing', 'skills', 'quota', 'economics', 'study', 'monthlyquarterlyyearly', 'costs', 'practice', 'accident', 'passion', 'excluding', 'charge', 'good', 'vietnamese', 'fields', 'results', 'promotion', 'months', 'professional', 'working', 'degree', 'company', 'programs', 'friendly', 'enjoy', 'reaching', 'regular', 'friday', 'credit', 'banking', 'certificate', 'obtain', 'customers', 'presentation', 'sales', 'units', 'law', 'candidates', 'program', 'participate', 'selected', 'activities', 'full', 'clothing', 'monday', 'aon', 'million', 'experience', 'individuals', 'benefits', 'persuasive', 'opportunities', 'analyzing', 'environment', 'consultant', 'allowances', 'welfare', 'career', 'university', 'attractive', 'communication', 'trainee', 'regulations', 'finance', 'policy', 'abilities', 'days', 'individual', 'companys', 'trained', 'offyear', 'based', 'develop', 'hours', 'investment', 'according', 'securities', 'development', 'relationships', 'fixed', 'ability', 'checkups', 'sponsorship', 'build', 'related', 'become', 'within', 'consulting'}",8621,10200000
Lâm Đồng,0.0,Employee,"['sales', 'business', 'pharmaceutical', 'marketing']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'required', 'higher', 'experience', 'economics', 'learn', 'selfmanagement', 'good', 'honest', 'graduate', 'requirements', 'majoring', 'hardworking', 'high', 'malefemale', 'communication', 'pharmacy', 'need', 'diligent', 'school', 'sales', 'appearance', 'age', 'college', 'love', 'eager', 'old', 'years'}",0,9800000
Bà Rịa - Vũng Tàu,3.0,Employee,"['mechanical', 'automotive', 'automation', 'oil', 'gas', 'manufacturing', 'production', 'operations']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'health', 'care', 'training', 'salary', 'increase', 'business', 'permit', 'annual', 'leave', 'sports', 'club']",{'specified'},0,12500000
Bình Dương,1.0,Employee,"['production', 'operations', 'quality', 'control', 'qaqc']",Official,"['insurance', 'travel', 'uniform', 'bonus', 'training', 'salary', 'increase', 'seniority', 'allowance', 'annual', 'leave']","{'enthusiastic', 'higher', 'experience', 'male', 'work', 'honest', 'hardworking', 'less', 'graduated', 'management', 'major', 'quality', 'age', 'year', 'college', 'shifts', 'accept', 'related', 'female'}",0,9000000
Thừa Thiên- Huế,1.0,Employee,"['banking', 'finance', 'investment']",Official,"['insurance', 'travel', 'allowance', 'overseas', 'uniform', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'seniority', 'annual', 'leave', 'sports', 'club']","{'skills', 'higher', 'recruitment', 'economics', 'tips', 'given', 'good', 'software', 'linkedin', 'priority', 'outlook', 'word', 'office', 'update', 'career', 'university', 'communication', 'httpswwwlinkedincomcompanymbbank', 'excel', 'finance', 'mb', 'information', 'banking', 'graduated', 'sales', 'follow', 'industry', 'productsservices', 'development', 'etc', 'understanding', 'page', 'basic', 'instructions', 'proficient'}",25299,18800000
Hà Nội,2.0,Employee,"['marketing', 'pharmaceutical', 'medical', 'healthcare']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'sports', 'club']","{'run', 'field', 'tiktok', 'higher', 'experience', 'mmonth', 'mindset', 'dermatologyandrologygynecologypediatricsfunctional', 'given', 'good', 'priority', 'reading', 'medical', 'ads', 'foods', 'thinking', 'running', 'indicators', 'graduated', 'creativity', 'candidates', 'logical', 'budget', 'facebook', 'college', 'understanding', 'related', 'least', 'years'}",3203,15000000
Hà Nội,0.0,Employee,"['telecommunications', 'customer', 'service', 'administrative', 'secretarial']",Official,"['insurance', 'travel', 'allowance', 'bonus', 'training', 'salary', 'increase', 'seniority', 'annual', 'leave']","{'trained', 'high', 'experience', 'higher', 'accent', 'lisp', 'local', 'school', 'graduate'}",11338,8000000
Quảng Nam,0.0,Employee,"['sales', 'business', 'pharmaceutical', 'marketing']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'required', 'higher', 'experience', 'economics', 'learn', 'selfmanagement', 'male', 'good', 'honest', 'graduate', 'requirements', 'majoring', 'hardworking', 'high', 'communication', 'pharmacy', 'need', 'diligent', 'school', 'sales', 'appearance', 'age', 'college', 'love', 'eager', 'old', 'years'}",0,10500000
Hà Nội,0.0,Employee,"['sales', 'business', 'consulting', 'online', 'marketing']","Nhân viên chính thức, Thực tập","['insurance', 'travel', 'allowance', 'bonus', 'training', 'salary', 'increase', 'business', 'trip']","{'skills', 'economics', 'given', 'software', 'priority', 'collaboration', 'office', 'university', 'communication', 'internet', 'administration', 'graduated', 'sales', 'majors', 'proficiency', 'candidates', 'marketing', 'equivalent', 'college', 'exploitation'}",0,17500000
Hà Nội,3.0,Leader,"['electricity', 'electronics', 'refrigeration', 'purchasing', 'materials', 'construction']",Official,"['insurance', 'allowance', 'bonus', 'training', 'annual', 'leave']","{'official', 'skills', 'economics', 'machinery', 'solving', 'knowledge', 'work', 'good', 'signing', 'professional', 'promotion', 'working', 'malefemale', 'company', 'enjoy', 'minimum', 'planning', 'contracts', 'position', 'law', 'health', 'entitled', 'candidates', 'participate', 'contract', 'types', 'age', 'holidays', 'college', 'analysis', 'understanding', 'input', 'dynamic', 'policies', 'many', 'million', 'problem', 'labor', 'field', 'experience', 'millionmonth', 'social', 'construction', 'benefits', 'given', 'personal', 'engineering', 'style', 'opportunities', 'environment', 'th', 'priority', 'high', 'welfare', 'equipment', 'university', 'fully', 'unemployment', 'regulations', 'administration', 'according', 'development', 'applied', 'tet', 'month', 'electromechanical', 'responsibility', 'synthesis', 'business', 'income', 'fixed', 'materials', 'refrigeration', 'salary', 'installation', 'old', 'years'}",0,17500000
Hồ Chí Minh,1.0,Employee,"['marketing', 'healthcare']",Official,"['insurance', 'travel', 'bonus', 'health', 'care', 'training', 'salary', 'increase']","{'preferably', 'higher', 'experience', 'work', 'proactive', 'good', 'cosmetics', 'attitude', 'fields', 'hardworking', 'high', 'school', 'graduated', 'medicine', 'aesthetics', 'ability', 'positive', 'responsible', 'team', 'listening', 'customer', 'least', 'years'}",0,9000000
Kiên Giang,1.0,Employee,"['maintenance', 'repair', 'real', 'estate']",Official,"['laptop', 'insurance', 'travel', 'allowance', 'bonus', 'health', 'care', 'training', 'salary', 'increase', 'business', 'trip', 'annual', 'leave']","{'pressure', 'higher', 'experience', 'using', 'machinery', 'trips', 'work', 'drawings', 'installing', 'high', 'intermediate', 'motor', 'equipment', 'mechanics', 'go', 'vehicle', 'auto', 'graduated', 'repair', 'tools', 'level', 'repairing', 'technical', 'read', 'year', 'specifications', 'withstand', 'least', 'proficient'}",0,10000000
